id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCLHTPO25N000000001,장소,유적지,10000051,덕수궁중명전,,,60603,유명사적/유적지,1114016700100010011,서울특별시,중구,정동,,1-11,1114016700,1114052000,,,,126.9725123,37.5667071,다사534520,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000002,장소,유적지,10000141,마애여래좌상,,,60604,국보,4792031028201080002,경상북도,봉화군,물야면,북지리,산108-2,4792031028,4792031000,,,,128.736928,36.9312964,마바101821,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000003,장소,유적지,10205988,해신당,,,60607,천연기념물,4793031022200030018,경상북도,울진군,북면,나곡리,산3-18,4793031022,4793031000,,,,129.3706886,37.1276364,마사661048,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000004,장소,유적지,10210460,팔각정,,,60607,천연기념물,1114014200100080001,서울특별시,중구,예장동,,8-1,1114014200,1114057000,,,,126.9876489,37.5516598,다사547503,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000005,장소,유적지,10210860,황강서원,,,60603,유명사적/유적지,5211114200102950003,전북특별자치도,전주시완산구,효자동3가,,295-3,5211114200,5211173000,,,,127.1033159,35.8291357,다마641592,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000006,장소,유적지,10213134,대한성공회강화성당,,,60603,유명사적/유적지,2871025022104220000,인천광역시,강화군,강화읍,관청리,422,2871025022,2871025000,,,,126.4862818,37.7485789,다사106725,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000007,장소,유적지,10213165,복신미륵,,,60603,유명사적/유적지,5011010700112750013,제주특별자치도,제주시,건입동,,1275-13,5011010700,5011059000,,,,126.5319444,33.515494,다다100030,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000008,장소,유적지,10213375,대원사,,,180301,유명사찰,4678036024108310000,전라남도,보성군,문덕면,죽산리,831,4678036024,4678036000,467804670390.0,죽산길,506-8,127.1325994,34.9612363,다라664629,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000009,장소,유적지,10213379,마애여래좌상,,,60603,유명사적/유적지,4113110700105530001,경기도,성남시수정구,복정동,,553-1,4113110700,4113162000,,,,127.1367169,37.4534842,다사678394,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000010,장소,유적지,10213385,백마고지위령비,,,60606,비/탑/문/각,5178025031118210000,강원특별자치도,철원군,철원읍,산명리,1821,5178025031,5178025000,,,,127.1653275,38.2696075,다아707299,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000011,장소,유적지,10213389,충렬서원,,,60603,유명사적/유적지,4146125327101180002,경기도,용인시처인구,모현읍,능원리,118-2,4146125327,4146125300,,,,127.1703206,37.3410411,다사707269,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000012,장소,유적지,10213400,남구만선생묘,,,60603,유명사적/유적지,4146125323100920002,경기도,용인시처인구,모현읍,초부리,92-2,4146125323,4146125300,,,,127.2440282,37.3138107,다사773239,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000013,장소,유적지,10213403,모현지석묘,,,60603,유명사적/유적지,4146125321104980000,경기도,용인시처인구,모현읍,왕산리,498,4146125321,4146125300,,,,127.2525259,37.3355507,다사780263,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000000014,장소,유적지,10213492,무주향교,,,60603,유명사적/유적지,5273025021102640001,전북특별자치도,무주군,무주읍,읍내리,264-1,5273025021,5273025000,,,,127.6660136,36.0083657,라마149790,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
